subject_curie,subject_name,predicate,object_curie,object_name,PMID,repo_support,jev_support,q_statement,variant,prompt_version,elapsed_s,error
UMLS:C0102561,alpha-fodrin,biolink:located_in,UMLS:C0030705,Patients,PMID:23639676,maybe,no,0.24,base,3,0.514,
UMLS:C0087111,Therapeutic procedure,biolink:affects,MONDO:0000986,pleurisy,PMID:2786830,yes,yes,0.78,base,3,0.352,
CHEBI:347401,Pentolinium,biolink:treats_or_applied_or_studied_to_treat,MONDO:0005044,hypertension,PMID:431965,yes,yes,0.9,base,3,0.349,
CHEBI:166520,Tenamfetamine,biolink:treats_or_applied_or_studied_to_treat,MONDO:0000001,disease,PMID:12567722,no,no,0.02,base,3,0.351,
UMLS:C0021760,interleukin-6,biolink:located_in,UBERON:0002371,bone marrow,PMID:8423340,yes,yes,0.73,base,3,0.355,
UMLS:C0304403,Psychostimulant (substance),biolink:treats_or_applied_or_studied_to_treat,UMLS:C0038586,Substance Use Disorders,PMID:12602167,no,no,0.18,base,3,0.35,
MONDO:0016101,Marek Disease,biolink:affects,UBERON:0001021,nerve,PMID:25920386,yes,no,0.21,base,3,0.572,
CHEBI:33697,RNA,biolink:affects,UMLS:C0017428,Genome,PMID:8546327,yes,yes,0.77,base,3,0.348,
UMLS:C0600388,Extracellular Signal Regulated Kinases,biolink:located_in,CL:0000010,cultured cell,PMID:19215954,yes,no,0.38,base,3,0.353,
NCBIGene:1154,CISH,biolink:interacts_with,UMLS:C0005456,Binding Sites,PMID:8157659,no,no,0.03,base,3,0.373,
MONDO:0005070,neoplasm,biolink:located_in,UBERON:0001332,Foreskin,PMID:35865480,yes,yes,0.8,base,3,0.364,
UMLS:C1328819,Small Molecule,biolink:interacts_with,UMLS:C0539267,sigma-2 receptor,PMID:22927761,yes,yes,0.87,base,3,0.354,
CHEBI:22984,Calcium,biolink:located_in,UMLS:C1281066,Entire papillary muscle,PMID:9211098,yes,maybe,0.48,base,3,0.341,
UMLS:C0037090,"Signs and Symptoms, Respiratory",biolink:coexists_with,HP:0002094,Dyspnea,PMID:25959736,yes,yes,0.89,base,3,0.35,
CL:0000236,B cell,biolink:interacts_with,CL:0000128,oligodendrocyte,PMID:30009855,yes,yes,0.79,base,3,0.376,
UMLS:C1317598,Pathologic findings,biolink:located_in,UBERON:0000982,skeletal joint,PMID:21485021,yes,yes,0.84,base,3,0.374,
HP:0000718,Aggressive behavior,biolink:predisposes_to_condition,HP:0000718,Aggressive behavior,PMID:22247092,yes,yes,0.7,base,3,0.365,
NCBIGene:3075,CFH,biolink:located_in,UBERON:0001969,blood plasma,PMID:10377245,yes,yes,0.86,base,3,0.337,
MESH:D012045,"Regulatory Sequences, Nucleic Acid",biolink:coexists_with,UMLS:C0040648,TRANSCRIPTION FACTOR,PMID:32023452,yes,yes,0.78,base,3,0.365,
UMLS:C0065684,mannose receptor,biolink:interacts_with,UMLS:C0009325,collagen,PMID:24500714,yes,yes,0.76,base,3,0.357,
UMLS:C0030940,Peptide Hydrolases,biolink:affects,UMLS:C0332149,Possible,PMID:35667894,no,no,0.21,base,3,0.423,
NCIT:C3137,Inflammation,biolink:located_in,UBERON:0001516,abdominal aorta,PMID:21073754,yes,yes,0.86,base,3,0.319,
UMLS:C1511790,Detection,biolink:treats_or_applied_or_studied_to_treat,MONDO:0021355,neoplasm of esophagus,PMID:34880973,no,maybe,0.58,base,3,0.359,
UMLS:C0067305,"N,N'-dimethylarginine",biolink:located_in,UBERON:0001977,blood serum,PMID:33596230,yes,yes,0.78,base,3,0.339,
CHEBI:3638,Chloroquine,biolink:affects,GO:0006006,glucose metabolic process,PMID:12087927,yes,yes,0.83,base,3,0.376,
MONDO:0018066,trisomy X,biolink:occurs_in,UMLS:C0870604,Female child,PMID:30070765,no,yes,0.72,base,3,0.406,
UMLS:C0011065,Cessation of life,biolink:related_to,MONDO:0002026,candidiasis,PMID:3976590,yes,yes,0.92,base,3,0.351,
EFO:0009426,necrosis,biolink:located_in,UBERON:0001231,nephron tubule,PMID:9671537,yes,yes,0.89,base,3,0.401,
UMLS:C0006631,Cadherins,biolink:affects,UMLS:C0026559,Morphogenesis,PMID:31583286,yes,yes,0.91,base,3,0.378,
MESH:C423236,"CD274 protein, human",biolink:affects,MONDO:0005271,Allergy,PMID:32277292,no,no,0.03,base,3,0.347,
MONDO:0006999,tooth disorder,biolink:occurs_in,UMLS:C0001792,Elderly (population group),PMID:26343124,yes,yes,0.8,base,3,0.41,
UBERON:0000995,uterus,biolink:has_part,NCBIGene:10084,PQBP1,PMID:23898987,no,no,0.03,base,3,0.362,
UMLS:C0003243,"Antibodies, Antinuclear",biolink:located_in,UMLS:C0007634,Cells,PMID:26020561,maybe,maybe,0.44,base,3,0.383,
UMLS:C0184980,Endoscopic biopsy,biolink:located_in,UBERON:0001264,pancreas,PMID:25394773,yes,yes,0.84,base,3,0.471,
UMLS:C0001948,Alcohol consumption,biolink:predisposes_to_condition,MONDO:0100096,COVID-19,PMID:34068824,no,no,0.02,base,3,0.353,
HP:0012532,Chronic pain,biolink:coexists_with,UMLS:C0150312,Present,PMID:33640462,no,no,0.32,base,3,0.336,
UMLS:C0242210,Binding Proteins,biolink:interacts_with,UMLS:C1519595,RNA Transcript,PMID:22438968,yes,yes,0.88,base,3,0.531,
UMLS:C0042971,von Willebrand factor,biolink:affects,UMLS:C0019868,Homeostasis,PMID:34616798,yes,yes,0.84,base,3,0.392,
UMLS:C0017296,gene therapy,biolink:treats_or_applied_or_studied_to_treat,NCIT:C3837,Neurological Signs and Symptoms,PMID:35929549,maybe,yes,0.91,base,3,0.375,
UMLS:C0441907,Lead site V1,biolink:located_in,UMLS:C0449219,Lead site V5,PMID:152661,no,no,0.05,base,3,0.337,
UMLS:C1261382,"Psychotherapy, Psychodynamic",biolink:treats_or_applied_or_studied_to_treat,MONDO:0005383,panic disorder,PMID:17592913,yes,yes,0.93,base,3,0.329,
UMLS:C0037981,Spirometry,biolink:treats_or_applied_or_studied_to_treat,UMLS:C0025266,Male population group,PMID:17023241,no,no,0.26,base,3,0.346,
UMLS:C1334043,Homologous Gene,biolink:interacts_with,UMLS:C0006556,"DNA, Complementary",PMID:9685391,no,no,0.22,base,3,0.363,
UMLS:C0387583,cyclooxygenase 2,biolink:related_to,MONDO:0005595,laryngeal squamous cell carcinoma,PMID:18027256,yes,yes,0.74,base,3,0.339,
UMLS:C1318309,Core needle biopsy,biolink:diagnoses,HP:0025289,Cervical lymphadenopathy,PMID:27917669,no,yes,0.91,base,3,0.456,
CHEBI:4932,Eupatilin,biolink:affects,UMLS:C0021753,"interleukin-1, beta",PMID:36926276,yes,yes,0.87,base,3,0.351,
NCBIGene:969,CD69,biolink:interacts_with,CHEBI:8802,Remifentanil,PMID:35639040,no,no,0.04,base,3,0.387,
UMLS:C0041242,Trypsin Inhibitors,biolink:affects,UMLS:C0030940,Peptide Hydrolases,PMID:27258473,no,yes,0.85,base,3,0.376,
MONDO:0005096,squamous cell carcinoma,biolink:located_in,UBERON:0002068,urachus,PMID:3766141,yes,yes,0.95,base,3,0.355,
MONDO:0021948,cutaneous tuberculosis,biolink:coexists_with,UMLS:C0085393,Immunocompromised Host,PMID:30893397,yes,yes,0.78,base,3,0.325,
UBERON:0000955,brain,biolink:produces,UMLS:C0016904,gamma-aminobutyric acid,PMID:10976932,maybe,maybe,0.47,base,3,0.332,
CHEBI:46662,mineral,biolink:interacts_with,UMLS:C0017337,Genes,PMID:15897898,yes,yes,0.73,base,3,0.362,
HP:0002970,Genu varum,biolink:located_in,UMLS:C0205653,Adolescent (age group),PMID:26290852,yes,no,0.28,base,3,0.342,
CHEBI:33699,messenger RNA,biolink:located_in,UBERON:0002836,lumbar dorsal root ganglion,PMID:12060099,yes,yes,0.78,base,3,0.325,
NCBIGene:7472,WNT2,biolink:located_in,CL:0000182,hepatocyte,PMID:31667643,no,no,0.1,base,3,0.339,
UMLS:C0003402,Antioxidants,biolink:affects,CHEBI:18421,superoxide,PMID:35110539,yes,yes,0.83,base,3,0.349,
UMLS:C0878412,A-23187,biolink:disrupts,UMLS:C1140999,Contraction (finding),PMID:8263781,yes,yes,0.81,base,3,0.361,
CHEBI:26995,thromboxane,biolink:affects,UMLS:C0387583,cyclooxygenase 2,PMID:22545970,no,maybe,0.44,base,3,0.321,
UMLS:C0017337,Genes,biolink:related_to,MONDO:0007759,"hyperlipidemia, familial combined, LPL related",PMID:34478023,yes,yes,0.86,base,3,0.333,
UMLS:C0035203,Respiration,biolink:affects,NCIT:C57815,"Gastrointestinal Leak NOS, CTCAE",PMID:8045145,no,maybe,0.51,base,3,0.339,
NCBIGene:7124,TNF,biolink:related_to,MONDO:0005388,primary biliary cholangitis,PMID:10068101,yes,yes,0.81,base,3,0.342,
